Sample: Sample_ID_submitter,File: Raw_or_Processed,File: File_format,File: contents,File: File_name,File: Genome_build,File:  Number of cases,File: Number of controls,File: Processed_date,Processing_steps:Pipeline_info,Processing_steps:Annotation_info,Processing_steps:Normalization_info,Processing_steps: Genotype level QC (xQTL),Processing_steps: Genotype level imputation (xQTL),Processing_steps: Genotype level QC (WGS/WES),Processing_steps:  Imputation Panel,File: md5sum,File: Transferred_date,File: File_size (bytes)
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 1,magenta_nhw_imp_fil_no_rel_p5_t5.1.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1952201340
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 2,magenta_nhw_imp_fil_no_rel_p5_t5.2.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1306230966
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 3,magenta_nhw_imp_fil_no_rel_p5_t5.3.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1089733441
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 4,magenta_nhw_imp_fil_no_rel_p5_t5.4.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,773122693
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 5,magenta_nhw_imp_fil_no_rel_p5_t5.5.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,914303429
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 6,magenta_nhw_imp_fil_no_rel_p5_t5.6.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1537257564
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 7,magenta_nhw_imp_fil_no_rel_p5_t5.7.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1120162256
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 8,magenta_nhw_imp_fil_no_rel_p5_t5.8.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,731647763
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 9,magenta_nhw_imp_fil_no_rel_p5_t5.9.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,807354369
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 10,magenta_nhw_imp_fil_no_rel_p5_t5.10.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,826700107
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 11,magenta_nhw_imp_fil_no_rel_p5_t5.11.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1128231201
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 12,magenta_nhw_imp_fil_no_rel_p5_t5.12.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1172988439
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 13,magenta_nhw_imp_fil_no_rel_p5_t5.13.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,391866257
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 14,magenta_nhw_imp_fil_no_rel_p5_t5.14.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,830544328
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 15,magenta_nhw_imp_fil_no_rel_p5_t5.15.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,669446815
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 16,magenta_nhw_imp_fil_no_rel_p5_t5.16.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1053661900
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 17,magenta_nhw_imp_fil_no_rel_p5_t5.17.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,1312183437
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-eQTL Summary Statistics for Chromosome 18,magenta_nhw_imp_fil_no_rel_p5_t5.18.norminal.cis_long_table.txt,Hg38,119,117,4252023,FGC xQTL pipeline,NA,TPM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs:13, MAF for PCA: 0.01, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1","TOPMed, filtered to include only imputed Variants R2 > 0.8 & Genotyped Variants",NA,TOPMed,NA,4272023,345190523
