CHEM_ID,LIB_ID,COMP_ID,CHRO_LIB_ENTRY_ID,SUPER_PATHWAY,SUB_PATHWAY,PATHWAY_SORTORDER,PATHWAY_STATUS,TYPE,INCHIKEY,SMILES,CHEMICAL_NAME,SHORT_NAME,CAS,CHEMSPIDER,HMDB,KEGG,PLANT_CYC,PUBCHEM,PLATFORM
35,400,42370,166164,Amino Acid,Glutamate Metabolism,62,,NAMED,DWAKNKKXGALPNW-REWHXWOFAV,OC(C1CCC=N1)=O,S-1-pyrroline-5-carboxylate,S-1-pyrroline-5-carboxylate,2906-39-0,10140206,HMDB0001301,C04322,,11966181,LC/MS Pos Early
41,400,1633,155434,Amino Acid,Histidine Metabolism,85,,NAMED,CCLQKVKJOGVQLU-QMMMGPOBBT,NCCCC(NC(CC1=CN=CN1)C(O)=O)=O,homocarnosine,homocarnosine,3650-73-5,8418848,HMDB0000745,C00884,,"89235,10243361",LC/MS Pos Early
49,400,1408,155357,Amino Acid,Polyamine Metabolism,537,,NAMED,KIDHWZJUCRJVML-UHFFFAOYAX,NCCCCN,putrescine,putrescine,110-60-1,13837702,HMDB0001414,C00134,PUTRESCINE,1045,LC/MS Pos Early
50,400,485,155305,Amino Acid,Polyamine Metabolism,545,,NAMED,ATHGHQPFGPMSJY-UHFFFAOYAK,NCCCCNCCCN,spermidine,spermidine,124-20-9,1071,HMDB0001257,C00315,SPERMIDINE,1102,LC/MS Pos Early
55,400,27665,155829,Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism,4314,,NAMED,LDHMAVIPBRSVRG-UHFFFAOYAE,C[N+]1=CC(C([NH-])=O)=CC=C1,1-methylnicotinamide,1-methylnicotinamide,1005-24-9,8305504,HMDB0000699,C02918,,457,LC/MS Pos Early
62,209,38395,143675,Lipid,"Fatty Acid, Dihydroxy",2030,,NAMED,CQSLTKIXAJTQGA-FLIBITNWBI,CCCCCC(C(C/C=C\CCCCCCCC(O)=O)O)O,"12,13-DiHOME","12,13-DiHOME",263399-35-5,8412123,HMDB0004705,C14829,CPD-13086,10236635,LC/MS Neg
73,209,37465,127685,Nucleotide,"Pyrimidine Metabolism, Cytidine containing",4248,,NAMED,NMPZCCZXCOMSDQ-UHFFFAOYAT,NC1=NC(N(C2OC(C3OP(O)(OC23)=O)CO)C=C1)=O,"cytidine 2',3'-cyclic monophosphate","cytidine 2',3'-cyclic monophosphate",15718-51-1,369711,HMDB0011691,C02354,,23421172,LC/MS Neg
93,305,528,146398,Energy,TCA Cycle,1445,,NAMED,KPGXRSRHYNQIFN-UHFFFAOYAN,O=C(C(O)=O)CCC(O)=O,alpha-ketoglutarate,alpha-ketoglutarate,"328-50-7,22202-68-2,305-72-6",50,HMDB0000208,C00026,2-ketoglutarate,51,LC/MS Polar
98,209,1417,124553,Amino Acid,Tryptophan Metabolism,272,,NAMED,HCZHHEIFKROPDY-UHFFFAOYAN,OC1=C(C=CC=C2)C2=NC(C(O)=O)=C1,kynurenate,kynurenate,492-27-3,3712,HMDB0000715,C01717,,3845,LC/MS Neg
111,305,1549,147711,Amino Acid,"Leucine, Isoleucine and Valine Metabolism",428,,NAMED,DBXBTMSZEOQQDU-REWHXWOFAW,CC(C(O)=O)CO,3-hydroxyisobutyrate,3-hydroxyisobutyrate,2068-83-9,10140307,"HMDB0000023,HMDB0000336","C01188,C06001",CPD-12175,11966314,LC/MS Polar
