Sample: Sample_ID_submitter,File: Raw_or_Processed,File: File_format,File: contents,File: File_name,File: Genome_build,File: Processed_date,Processing_steps:Pipeline_info,Processing_steps:Annotation_info,Processing_steps:Normalization_info,Processing_steps: Genotype level (xQTL),Processing_steps: Genotype level imputation (xQTL),Processing_steps: Genotype level QC (WGS/WES),File: md5sum,File: Transferred_date,File: File_size
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 1,ALL.log2cpm.cov_pca.resid.PEER.cov.1.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",96e42aef977696a1aa8cfe14a417dc3a,11/7/2022,475M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 2,ALL.log2cpm.cov_pca.resid.PEER.cov.2.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",202562175d56300d6aea8fb36a5cf132,11/7/2022,369M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 3,ALL.log2cpm.cov_pca.resid.PEER.cov.3.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",4ae3b9ece7a1965342b9aa162dde515a,11/7/2022,312M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 4,ALL.log2cpm.cov_pca.resid.PEER.cov.4.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",97226714d9fabdd300490beaa3988738,11/7/2022,226M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 5,ALL.log2cpm.cov_pca.resid.PEER.cov.5.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",3abfb924d877e3402d436b608aceb997,11/7/2022,263M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 6,ALL.log2cpm.cov_pca.resid.PEER.cov.6.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",769e4c47390d81ac28671f1ee6a80386,11/7/2022,322M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 7,ALL.log2cpm.cov_pca.resid.PEER.cov.7.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",fb08a4ebfb638825f5c8868b9b03bd99,11/7/2022,264M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 8,ALL.log2cpm.cov_pca.resid.PEER.cov.8.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",7f088e4db2e6a344b083eba185ffbe37,11/7/2022,210M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 9,ALL.log2cpm.cov_pca.resid.PEER.cov.9.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",3a254562f00111b36d2581c019f71659,11/7/2022,225M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 10,ALL.log2cpm.cov_pca.resid.PEER.cov.10.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",1492799df6aced12559eabb278adf732,11/7/2022,227M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 11,ALL.log2cpm.cov_pca.resid.PEER.cov.11.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",7d7e29a9959ffea76e25a5f930a08987,11/7/2022,269M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 12,ALL.log2cpm.cov_pca.resid.PEER.cov.12.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",59dcf466a48110a15c22d36fd314030b,11/7/2022,293M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 13,ALL.log2cpm.cov_pca.resid.PEER.cov.13.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",dc21c31f4624517df636ab47b30b61c9,11/7/2022,113M
All samples,Processed,TensorQTL Nominal Summary Statistics (txt.gz file packaged in nominal_sumstat.tar.gz ),ALL celltypes variants level nominal cis-eQTL Summary Statistics for Chromosome 14,ALL.log2cpm.cov_pca.resid.PEER.cov.14.norminal.cis_long_table.txt.gz,Hg38,11/7/2022,FGC xQTL pipeline,"Ensembl v103, 1000genomes GRCh38",CPM,NA,NA,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variant analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",54730bdeb6a3d9613b0ab5e78e687191,11/7/2022,190M
