SubjectID_submitter,SampleID_submitter,Sample: Organism,Sample: Biosample type,Sample: Biosample description,Protocol: Material_type,Protocol: Assay,Protocol: Antibody,"Protocol: Platform (RNA-Seq, WGS)",Sample: Life_stage,Sample: Treatment,Sample: Material_amount,Sample: RIN,Protocol: Extraction_brief,Protocol: Experiment_description_brief,Protocol: Run_type,Protocol: Library_info_brief,Protocol: Read_length,Data contribution
R5459434,01_120405,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.7,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4906216,02_120405,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R8329066,03_120405,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R3405776,04_120405,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.8,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R4415805,05_120405,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,6.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7721691,07_120410,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.6,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2581860,08_120410,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,5.1,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R7210604,100_120417,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.5,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R2582129,101_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,7.4,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
R9579311,102_120418,Human,Primary tissue,dorsolateral prefrontal cortex,RNA,eQTL,NA,"Illumina HiSeq, Illumina HiSeq X",Adult,NR,NR,8.2,"Samples were extracted using Qiagen's miRNeasy mini kit (cat. no. 217004) and the RNase free DNase Set (cat. no. 79254), and quantified by Nanodrop and quality was evaluated by Agilent Bioanalyzer.","cisQTL association testing was performed to generate summary statistics file including both nominal test statistics for each test, as well as region (gene) level association evidence",Paired-end,"Sequencing libraries were prepared using the strand specific dUTP method [REF1 - Levin et al., Nature Methods 2010] with poly-A selection [REF2 - Adiconis et al., Nature Methods 2013], Illumina HiSeq ",101,data contribution batch 1
