Sample: Sample_ID_submitter,File: Raw_or_Processed,File: File_format,File: contents,File: File_name,File: Genome_build,File: Number of cases and controls,File: Processed_date,Processing_steps:Pipeline_info,Processing_steps:Annotation_info,Processing_steps:Normalization_info,Processing_steps: Genotype level QC (xQTL),Processing_steps: Genotype level imputation (xQTL),Processing_steps: Genotype level QC (WGS/WES),File: md5sum,File: Transferred_date,File: File_size
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 1,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.1.norminal.cis_long_table.txt,Hg38,N/A,10132022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.1",No,N/A,N/A,N/A,14532967326
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 2,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.2.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.2",No,N/A,N/A,N/A,10522372619
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 3,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.3.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.3",No,N/A,N/A,N/A,8420451812
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 4,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.4.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.4",No,N/A,N/A,N/A,5972762482
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 5,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.5.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.5",No,N/A,N/A,N/A,7307391750
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 6,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.6.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.6",No,N/A,N/A,N/A,9157630358
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 7,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.7.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.7",No,N/A,N/A,N/A,7399156495
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 8,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.8.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.8",No,N/A,N/A,N/A,6165812757
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 9,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.9.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.9",No,N/A,N/A,N/A,7454049781
All samples,Processed,TensorQTL Nominal Summary Statistics (txt file),cis-haQTL Summary Statistics for Chromosome 10,h3k9ac_bed_recipe_h3k9ac_whole.k9_cov.xqtl_protocol_data.filtered.related.filtered.extracted.pca.projected.resid.PEER.merged.10.norminal.cis_long_table.txt,Hg38,N/A,10032022,FGC xQTL pipeline,Ensembl v103,TMM,"(xQTL Pipeline Defaults), kinship coefficient: 0.0625, PCs: 13, MAF for PCA: 0.05, MAC for single variatn analysis: 5, Variant level missingness threshold: 0.1, Sample level missingness threshold: 0.10",No,N/A,N/A,N/A,7955655217
